State,Rural,Urban,Freeway and Expressway,Other,Minor Arterial,Collector Arterial,Local,Unknown,Total Fatalities
Alabama,79,53,2,279,193,184,140,0,930
Alaska,10,5,0,28,9,12,2,1,67
Arizona,83,49,46,348,183,159,28,85,981
Arkansas,45,30,3,206,77,49,95,0,505
California,155,343,408,1110,779,569,238,4,3606
Colorado,35,47,19,236,117,70,69,3,596
Connecticut,1,41,20,42,64,52,26,3,249
Delaware,0,10,5,35,24,42,16,0,132
District of Columbia,0,2,0,0,0,1,20,0,23
Florida,129,181,99,1311,714,395,352,2,3183
Georgia,51,188,12,398,437,232,173,0,1491
Hawaii,0,10,0,57,40,0,0,1,108
Idaho,27,9,2,76,37,39,33,1,224
Illinois,44,105,8,286,245,200,113,8,1009
Indiana,66,38,15,217,160,202,108,3,809
Iowa,27,13,0,96,51,81,68,0,336
Kansas,33,22,30,129,43,74,79,1,411
Kentucky,51,33,14,166,158,214,96,0,732
Louisiana,50,41,23,166,151,160,136,0,727
Maine,11,3,0,28,30,52,30,3,157
Maryland,2,67,19,168,117,77,65,6,521
Massachusetts,2,60,12,96,92,35,37,0,334
Michigan,28,62,40,263,253,207,124,8,985
Minnesota,14,16,7,84,126,92,24,1,364
Mississippi,57,39,0,149,127,193,78,0,643
Missouri,54,94,72,180,185,183,112,0,880
Montana,22,1,0,66,30,31,33,1,184
Nebraska,29,6,13,94,52,33,21,0,248
Nevada,27,19,7,118,90,9,32,2,304
New Hampshire,4,1,3,40,17,14,21,1,101
New Jersey,7,46,49,193,145,46,73,0,559
New Mexico,73,18,3,173,57,63,37,0,424
New York,21,35,81,252,155,121,265,1,931
North Carolina,55,57,102,260,294,298,305,2,1373
North Dakota,3,1,0,31,16,19,27,3,100
Ohio,42,89,42,218,245,340,165,12,1153
Oklahoma,45,33,9,184,128,164,76,1,640
Oregon,15,21,4,197,103,116,33,0,489
Pennsylvania,56,43,35,296,236,191,196,6,1059
Rhode Island,0,9,4,20,6,1,17,0,57
South Carolina,82,36,18,340,405,47,73,0,1001
South Dakota,8,4,9,20,20,29,12,0,102
Tennessee,63,109,11,327,274,230,120,1,1135
Texas,173,415,204,1132,736,708,240,7,3615
Utah,31,23,0,116,22,24,28,4,248
Vermont,4,0,0,6,11,19,7,0,47
Virginia,59,61,22,198,206,174,89,22,831
Washington,21,40,7,153,70,96,125,7,519
West Virginia,15,12,0,80,50,72,25,6,260
Wisconsin,24,26,10,169,130,137,64,6,566
Wyoming,42,3,0,49,17,13,20,3,147
USA,1975,2669,1489,10886,7927,6569,4366,215,36096
